topic,keywords_cn,keywords_en,keywords_ru,topic_en,topic_cn,topic_ru
50,"[沙漠化, 沙漠, 荒漠, 土地, 荒漠化, 绿洲, 植被, 治沙, 防治, 防沙]","[desertification, desert, desert, land, desertification, oasis, vegetation, sand control, prevention, sand prevention]","[опустынивание, пустыня, пустыня, земля, опустынивание, оазис, растительность, борьба с песком, контроль, борьба с песком]",Desertification Control and Research,沙漠化防治与研究,Контрольи и исследования опустынивания
51,"[持续, 数据, 目标, 地球, 联合国, 指标, 实现, 评估, 议程, 发展]","[sustainability, data, target, earth, united nations, indicator, realization, evaluation, agenda, development]","[поддерживать, данные, цели, планета, организация объединенных наций, показатели, достижение, оценка, повестка дня, развитие]",Earth Big Data for Sustainable Development,地球大数据支撑可持续发展,Большие данные о Земле для устойчивого развития
52,"[超导, 绝对, 重力仪, 高温, 超导体, 磁选机, 装置, 强磁场, 实验, 磁悬浮列车]","[superconductivity, absolute, gravimeter, high temperature, superconductor, magnetic separator, device, strong magnetic field, experiment, maglev train]","[сверхпроводимость, абсолют, гравиметр, высокая температура, сверхпроводник, магнитный сепаратор, прибор, сильное магнитное поле, эксперимент, поезд на магнитной подвеске]",Superconducting Devices and Applications,超导装置及其应用,Сверхпроводящие устройства и приложения
53,"[研究生, 培养, 教育, 博士生, 硕士, 人才, 质量, 招生, 学生, 导师]","[graduate student, training, education, doctoral student, master, talent, quality, enrollment, student, tutor]","[аспиранты, подготовка, образование, докторанты, магистры, таланты, качество, прием, студенты, наставники]",Graduate Education and Talent Cultivation,研究生教育与人才培养,Послевузовское образование и развитие талантов
54,"[药物, 新药, 中药, 酚酸, 丹参, 开发, 筛选, 青蒿素, 医药, 复方]","[drug, new drug, traditional chinese medicine, phenolic acid, salvia miltiorrhiza, development, screening, artemisinin, medicine, compound]","[лекарства, новые лекарства, традиционная китайская медицина, фенольные кислоты, шалфей многолистный, разработка, скрининг, артемизинин, лекарство, соединение]",Drug Development and Traditional Chinese Medicine,药物开发与中药,Разработка лекарств и традиционная китайская медицина
55,"[文明, 生态, 自然资源, 建设, 负债表, 资产, 林业, 马克思, 生态农业, 编制]","[civilization, ecology, natural resources, construction, balance sheet, assets, forestry, marx, ecological agriculture, compilation]","[цивилизация, экология, природные ресурсы, строительство, баланс, активы, лесное хозяйство, маркс, экологическое сельское хозяйство, подготовка]",Ecological Civilization Construction,生态文明建设,Строительство экологической цивилизации
56,"[中子, 谱仪, 磁共振, 脉冲, 电子, 高场, 斩波器, 线圈, 超声速, 激发态]","[neutron, spectrometer, magnetic resonance, pulse, electron, high field, chopper, coil, supersonic, excited state]","[нейтрон, спектрометр, магнитный резонанс, импульс, электрон, сильное поле, прерыватель, катушка, сверхзвук, возбужденное состояние]",Neutron Scattering Instruments,中子散射仪器,Приборы для нейтронного рассеяния
57,"[单细胞, 分选, 拉曼, 临床, 测序, 干细胞, 耦合, 诱导, 全自动, 药敏]","[single cell, sorting, raman, clinical, sequencing, stem cell, coupling, induction, fully automatic, drug sensitivity]","[одноклеточные, сортировка, комбинационное рассеяние света, клиническое, секвенирование, стволовые клетки, связывание, индукция, полностью автоматизированное, чувствительность к лекарственным средствам]",Stem Cell and Regenerative Medicine Research,干细胞与再生医学,Исследования стволовых клеток и регенеративной медицины
58,"[基站, 超级, 漂流, 缪尔, 靶斑仪, 抓斗, 天顶, 子午, 浮标, 探针]","[base station, super, drift, muir, target spotter, grab, zenith, meridian, buoy, probe]","[базовая станция, супер, дрейф, мьюир, измеритель точки цели, захват, зенит, меридиан, буй, зонд]",Scientific Research Instruments and Large Scientific Engineering Projects,科学研究仪器开发及大型科学工程建设,Научно-исследовательские приборы и крупные научные инженерные проекты
59,"[国土, 功能区, 主体, 空间, 空间规划, 空间结构, 区域, 规划, 格局, 优化]","[land, functional area, subject, space, spatial planning, spatial structure, region, planning, pattern, optimization]","[территория, функциональная зона, основной корпус, пространство, пространственная планировка, пространственная структура, регион, планировка, схема, оптимизация]",Land Spatial Governance and Regional Development Strategy,国土空间治理与区域发展战略研究,Стратегия управления земельным пространством и регионального развития
60,"[油气, 页岩, 油田, 石油, 勘探, 天然气, 水合物, 开发, 盆地, 油藏]","[oil and gas, shale, oil field, petroleum, exploration, natural gas, hydrate, development, basin, reservoir]","[нефть и газ, сланец, нефтяное месторождение, нефть, разведка, природный газ, гидрат, разработка, бассейн, резервуар]",Oil and Gas Exploration and Development,油气勘探与开发,Разведка и разработка нефти и газа
61,"[任命, 院长, 简介, 中国科学院, 党组, 书记, 党组书记, 部长级, 建国, 施尔畏]","[appointment, president, introduction, chinese academy of sciences, party group, secretary, party group secretary, ministerial level, jianguo, shi erwei]","[назначение, декан, введение, китайская академия наук, партийная группа, секретарь, секретарь партийной группы, министерский уровень, цзяньго, ши эрвэй]",CAS Leaders Appointments and Profiles,中科院领导任命与简介,Назначения и профили руководителей КАН
62,"[磁控溅射, 镀膜, 磁场, 高能, 卷绕, 磁悬浮, 设备, 磁通, 镀膜机, 感应式]","[magnetron sputtering, coating, magnetic field, high energy, winding, magnetic levitation, equipment, magnetic flux, coating machine, induction]","[магнетронное распыление, нанесение покрытий, магнитное поле, высокая энергия, намотка, магнитная левитация, оборудование, магнитный поток, машина для нанесения покрытий, индукция]",Magnetron Sputtering Coating,磁控溅射镀膜,Магнетронное напыление покрытий
63,"[量子, 通信, 量子态, 隐形, 纠缠, 哲学, 量子力学, 计算, 读出, 信息技术]","[quantum, communication, quantum state, invisible, entanglement, philosophy, quantum mechanics, computing, readout, information technology]","[квант, коммуникация, квантовое состояние, невидимость, запутанность, философия, квантовая механика, вычисления, считывание, информационные технологии]",Quantum Communication and Computing,量子通信与计算,Квантовая связь и вычисления
64,"[实验室, 开放, 重点, 无线, 涂层, 计算机系统, 特种, 办好, 殷切期望, 无机]","[laboratory, open, key, wireless, coating, computer system, special, run well, earnest expectations, inorganic]","[лабораторный, открытый, фокус, беспроводной, покрытие, компьютерная система, специальный, молодец, большие ожидания, неорганический]",Open Science and National Key Laboratories,开放科学与国家重点实验室,Открытая наука и национальные ключевые лаборатории
65,"[原子钟, 星载, 芯片, 粒子, 剂量, 探测器, 抽运, 质谱仪, 电子, 仪星载]","[atomic clock, satellite-borne, chip, particle, dose, detector, pumping, mass spectrometer, electronic, instrument satellite-borne]","[атомные часы, космический, чип, частица, доза, детектор, накачка, масс-спектрометр, электрон, космический прибор]",Advanced Scientific Instruments and Technologies,先进科学仪器与技术,Передовые научные приборы и технологии
66,"[植物, 植物园, 孢子植物, 分类学, 中国, 编研, 三志, 动物, 植物学, 物种]","[plant, botanical garden, spore plant, taxonomy, china, compilation and research, three records, animals, botany, species]","[растения, ботанические сады, споровые растения, таксономия, китай, редакция, санчжи, животные, ботаника, виды]",Flora of China,中国植物志,Флора Китая
67,"[实验室, 开放, 第二批, 重点, 简介, 中国科学院, 植物, 研究, 物理, 国家]","[laboratory, open, second batch, key, introduction, chinese academy of sciences, plant, research, physics, national]","[лаборатория, открытая, вторая партия, фокус, внедрение, китайская академия наук, завод, исследование, физика, страна]",Open Science and S&T Innovation Policy Research,开放科学与科技创新政策研究,Открытая наука и исследования политики в области научно-технических инноваций
68,"[国家自然科学基金, 资助, 科学基金, 评议, 同行, 基础, 申请, 基金, 女性, 评审]","[national natural science foundation, funding, science foundation, review, peer, foundation, application, fund, female, review]","[национальный фонд естественных наук китая, финансирование, научный фонд, обзор, коллега, фонд, заявка, фонд, женщина, обзор]",Peer Review and Funding Allocation for Basic Research,基础研究的同行评议与资助分配,Экспертная оценка и распределение финансирования для фундаментальных исследований
69,"[粮食, 粮食安全, 耕地, 生产, 安全, 保障, 我国, 供给, 生产能力, 农业]","[food, food security, arable land, production, safety, guarantee, my country, supply, production capacity, agriculture]","[продовольствие, продовольственная безопасность, пахотные земли, производство, безопасность, защищенность, моя страна, снабжение, производственные мощности, сельское хозяйство]",Food Security,粮食安全,Продовольственная безопасность
70,"[矿床, 金矿, 地质, 成矿, 找矿, 黄金, 深部, 地球化学, 特征, 成因]","[ore deposit, gold mine, geology, mineralization, prospecting, gold, deep, geochemistry, characteristics, genesis]","[рудные месторождения, месторождения золота, геология, минерализация, поиски, золото, глубина, геохимия, характеристика, происхождение]",Gold Deposit Geology,金矿床地质学,Геология золотых месторождений
71,"[网络, 社交, 舆情, 舆论, 传播, 用户, 社会, 谣言, 行为, 社区]","[network, social, public opinion, public opinion, communication, user, society, rumor, behavior, community]","[сеть, социальная сеть, общественное мнение, общественное мнение, коммуникация, пользователь, общество, слух, поведение, сообщество]",Social Network Public Opinion Analysis,社交网络舆情分析,Анализ общественного мнения в социальных сетях
72,"[傅里叶, 气体, 分析仪, 变换, 便携式, 红外, 多组分, 多组, 光谱, 测试]","[fourier, gas, analyzer, transformation, portable, infrared, multi-component, multi-group, spectrum, test]","[фурье, газовый, анализатор, преобразование, портативный, инфракрасный, многокомпонентный, многогрупповой, спектральный, тест]",High-Precision Scientific Instruments and Advanced Detection Technologies,高精密科学仪器与先进检测技术研究,Высокоточные научные приборы и передовые технологии обнаружения
73,"[超强, 赫兹, 超短, 激光器, 激光, 首都师范大学, 探测器, 超导, 芯片, 装配线]","[super strong, hertz, ultra short, laser, laser, capital normal university, detector, superconducting, chip, assembly line]","[сверхсильный, герц, сверхкороткий, лазер, лазер, столичный педагогический университет, детектор, сверхпроводник, чип, сборочная линия]",Ultra-Intense Laser Technology and Terahertz Detector,超强激光技术与太赫兹探测器研究,Технологии сверхмощных лазеров и терагерцевые детекторы
74,"[在线, 监测仪, 实时, 分析仪, 藻类, 水质, 水体, 监测, 亚硝酸, 颗粒]","[online, monitor, real-time, analyzer, algae, water quality, water body, monitoring, nitrite, particles]","[онлайн, монитор, в реальном времени, анализатор, водоросли, качество воды, водоем, мониторинг, азотистая кислота, частицы]",Water Quality Monitoring Instruments,水质监测仪器,Приборы мониторинга качества воды
75,"[嫦娥, 月球, 卫星, 探测, 探月, 三号, 一号, 任务, 神舟, 五号]","[chang'e, moon, satellite, detection, lunar exploration, no. 3, no. 1, mission, shenzhou, no. 5]","[чанъэ, ​​луна, спутник, исследование, исследование луны, № 3, № 1, миссия, шэньчжоу, № 5]",Lunar and Deep Space Exploration,月球与深空探测,Исследования Луны и дальнего космоса
76,"[机器人, 工业, 防疫, 智能, 自动化, 康复, 消毒, 医疗, 现状, 制造]","[robot, industry, epidemic prevention, intelligence, automation, rehabilitation, disinfection, medical treatment, current situation, manufacturing]","[робот, промышленность, профилактика эпидемий, разведка, автоматизация, реабилитация, дезинфекция, лечение, текущая ситуация, производство]",Robotics and Intelligent Manufacturing,机器人与智能制造技术,Робототехника и интеллектуальное производство
77,"[二阶, 光学, 远心, 旗形, 面形仪, 非线性, 测试仪, 荧光, 步态, 取样器]","[second order, optics, telecentric, flag, profilometer, nonlinear, tester, fluorescence, gait, sampler]","[второй порядок, оптический, телецентрический, флаг, планиметр, нелинейный, тестер, флуоресценция, походка, пробоотборник]",Optical Instruments,光学仪器,Оптические приборы
78,"[同步, 辐射, 光源, 上海, 合肥, 装置, 一台, 更亮, 神灯, 更强]","[synchronous, radiation, light source, shanghai, hefei, device, one, brighter, magic lamp, stronger]","[синхронно, излучение, источник света, шанхай, хэфэй, устройство, один блок, ярче, волшебная лампа, сильнее]",Synchrotron Radiation Technology,同步辐射技术,Технологии синхротронного излучения
79,"[高精度, 镜面, 电光, 磁强计, 晶体, 光学, 定向仪, 分析天平, 清水, 工业]","[high precision, mirror, electro-optical, magnetometer, crystal, optics, orienter, analytical balance, clean water, industry]","[высокая точность, зеркало, электрооптический, магнитометр, кристалл, оптика, направленный прибор, аналитические весы, чистая вода, промышленность]",High-Precision Optical Instruments,高精度光学仪器,Высокоточные оптические приборы
80,"[高能, 电子束, 全光, 蒸发, 驱动, 团簇, 衍射, 兆瓦, 超低温, 蓄电池]","[high energy, electron beam, all-optical, evaporation, drive, cluster, diffraction, megawatt, ultra-low temperature, battery]","[высокая энергия, электронный луч, полностью оптический, испарение, привод, кластер, дифракция, мегаватт, сверхнизкая температура, батарея]",High-Energy Physics,高能物理,Физика высоких энергий
81,"[提取, 自动, 快速, 一体机, 检测, 采集, 高速数据, 自动化, 分拣, 核酸]","[extraction, automatic, fast, all-in-one, detection, collection, high-speed data, automation, sorting, nucleic acid]","[извлечение, автоматическое, быстрое, универсальное устройство, обнаружение, сбор, высокоскоростные данные, автоматизация, сортировка, нуклеиновая кислота]",High-Speed Automated Data Acquisition and Analysis System,高速自动化数据采集与分析系统,Высокоскоростные автоматизированные системы сбора и анализа данных
82,"[望远镜, 口径, 光学, 最大, 天文, 射电, 光谱, 智利, 天文学, 上网]","[telescope, aperture, optics, largest, astronomy, radio, spectrum, chile, astronomy, internet access]","[телескоп, апертура, оптика, крупнейший, астрономия, радио, спектр, чили, астрономия, интернет]",High-Precision Optical and Radar Technologies,高精度光学与雷达技术,Высокоточные оптические и радарные технологии
83,"[服务业, 十四五, 现代, 生产性, 服务型, 新兴产业, 制造, 战略性, 集群, 产业]","[service industry, 14th five-year plan, modern, productive, service-oriented, emerging industries, manufacturing, strategic, cluster, industry]","[сфера услуг, 14-я пятилетка, современные, продуктивные, сервисно-ориентированные, развивающиеся отрасли, обрабатывающая промышленность, стратегическая, кластерная, промышленность]",Chinese Strategic Industries and Economic Development,中国战略产业与经济发展,Стратегические отрасли и экономическое развитие Китая
84,"[构造, 地质学, 岩石, 地下, 板块, 岩土, 力学, 地质, 地热, 工程力学]","[tectonic, geology, rock, underground, plate, geotechnical, mechanics, geology, geothermal, engineering mechanics]","[тектоника, геология, горные породы, подземные породы, плиты, геотехнические, механика, геология, геотермальная энергия, инженерная механика]",Geological Science Development,地质科学发展,Развитие геологических наук
85,"[成像, 磁共振, 人体, 肺部, 气体, 系统, 成像仪, 毫米波, 安全检查, 导向]","[imaging, magnetic resonance, human body, lungs, gas, system, imager, millimeter wave, safety inspection, guidance]","[визуализация, магнитный резонанс, тело человека, легкие, газ, система, тепловизор, миллиметровые волны, проверка безопасности, руководство]",Advanced Medical Imaging and Diagnostic Technologies,高端医学成像与诊断技术研究,Передовые технологии медицинской визуализации и диагностики
86,"[摘要, 报告, 工作, 化学部, 中国科学院生物学部, 院士, 学部, 增选, 学部委员, 地学部]","[abstract, report, work, chemistry department, cas biology department, academician, department, co-election, academician, earth science department]","[реферат, доклад, работа, кафедра химии, кафедра биологии китайской академии наук, академик кафедры, кооптированный, член кафедры, отделение наук о земле]",CAS Divisions and Academicians: History and Development,中科院学部和院士：历史与发展,Отделения и академики КАН: история и развитие
87,"[微生物, 数据中心, 数据, 水圈, 计划, 平台, 湖泊, 组大, 资源, 应用]","[microorganism, data center, data, hydrosphere, plan, platform, lake, group, resources, application]","[микроорганизмы, дата-центр, данные, гидросфера, план, платформа, озеро, группа, ресурс, применение]",Microbiology and Ecological Environment Research,微生物学与生态环境研究,Исследования в области микробиологии и экологической среды
88,"[黑土地, 黑土, 东北, 保护, 耕作, 保护性, 粮食安全, 利用, 农业, 耕地]","[black soil, black soil, northeast, protection, cultivation, protective, food security, utilization, agriculture, cultivated land]","[чернозем, чернозем, северо-восток, охрана, земледелие, охрана, продовольственная безопасность, использование, земледелие, обрабатываемые земли]",Black Soil Conservation and Sustainable Utilization,黑土地保护与可持续利用,Сохранение и устойчивое использование черноземов
89,"[核聚变, 托卡马克, 超导, 聚变, 装置, 实验, 人造, 太阳, 国家验收, 受控]","[nuclear fusion, tokamak, superconductor, fusion, device, experiment, artificial, sun, national acceptance, controlled]","[ядерный синтез, токамак, сверхпроводимость, синтез, устройство, эксперимент, искусственный, солнце, национальное признание, контролируемый]","Big Science Facilities: Superconductivity, Nuclear Fusion, and High-Energy Physics",大科学装置与先进技术：超导、核聚变与高能物理,"Крупные научные объекты: сверхпроводимость, ядерный синтез и физика высоких энергий"
90,"[西藏, 援藏, 农牧民, 农牧业, 增收, 协同, 特色产业, 科技, 西藏自治区, 集群]","[tibet, aid to tibet, farmers and herdsmen, agriculture and animal husbandry, increase income, collaboration, characteristic industry, science and technology, tibet autonomous region, cluster]","[тибет, помощь тибету, фермеры и скотоводы, сельское хозяйство и животноводство, увеличение доходов, сотрудничество, характерные отрасли, наука и технологии, тибетский автономный район, кластер]",Tibet and the Qinghai-Tibet Plateau: Sustainable Development and Ecological Protection,西藏与青藏高原：可持续发展与生态保护,Тибет и Цинхай-Тибетское плато: устойчивое развитие и экологическая защита
91,"[对撞机, 正负电子, 北京, 对撞, 改造, 粒子, 物理, 重大, 实验, 装置]","[collider, positron, beijing, collision, transformation, particle, physics, major, experiment, device]","[коллайдер, электрон и позитрон, пекин, столкновение, трансформация, частица, физика, майор, эксперимент, устройство]","Big Science Facilities: Particle Physics, Colliders, and Neutrino Research",高能物理与大科学装置：粒子物理、对撞机与中微子研究,"Крупные научные объекты: физика частиц, коллайдеры и исследования нейтрино"
92,"[紫外, 激光器, 激光, 光谱仪, 光致发光, 系列化, 全固态, 系列产品, 稳频, 准分子]","[ultraviolet, laser, laser, spectrometer, photoluminescence, serialization, all solid-state, series of products, frequency stabilization, excimer]","[уф, лазер, лазер, спектрометр, фотолюминесценция, сериализация, все твердотельные, серийные изделия, стабилизация частоты, эксимер]",High-Power Solid-State Lasers and Deep Ultraviolet Spectral Imaging Systems,高功率固态激光器与深紫外光谱成像系统,Мощные твердотельные лазеры и системы глубокой ультрафиолетовой спектральной визуализации
93,"[传感器, 压力, 微型, 柔性, 电场, 测量, 腐蚀, 装置, 功率, 电容式]","[sensor, pressure, micro, flexible, electric field, measurement, corrosion, device, power, capacitive]","[датчик, давление, микро, гибкий, электрическое поле, измерение, коррозия, устройство, мощность, емкостный]",Advanced Measurement and Sensing Technologies,先进测量与传感技术,Передовые технологии измерения и зондирования
94,"[地理学, 方法论, 学科, 展望, 方法, 回顾, 地理信息, 城市, 理论, 自然]","[geography, methodology, discipline, prospect, method, review, geographic information, city, theory, nature]","[география, методология, дисциплина, мировоззрение, метод, обзор, географические сведения, город, теория, природа]",Geographic Science Research,地理科学研究,Исследования в области географии
95,"[电工, 四十年, 六十年, 基础科学, 氧化, 中国科学院, 超导, 环境, 我院, 还原性]","[electrical engineering, forty years, sixty years, basic science, oxidation, chinese academy of sciences, superconductivity, environment, our institute, reduction]","[электротехника, сорок лет, шестьдесят лет, фундаментальная наука, окисление, китайская академия наук, сверхпроводимость, окружающая среда, наш институт, восстановление]",Basic Research at CAS,中科院基础科学研究,Фундаментальные исследования в КАН
96,"[减灾, 灾害, 重建, 汶川, 地震, 防灾, 灾后, 自然灾害, 恢复, 次生]","[disaster reduction, disaster, reconstruction, wenchuan, earthquake, disaster prevention, post-disaster, natural disaster, recovery, secondary]","[уменьшение стихийных бедствий, стихийное бедствие, реконструкция, вэньчуань, землетрясение, предотвращение стихийных бедствий, последствия стихийных бедствий, стихийные бедствия, восстановление, вторичные]",Disaster Mitigation,减灾,Смягчение последствий стихийных бедствий
97,"[纳米, 纳米技术, 伦理, 苏州, 中心, 科技, 干细胞, 仿生, 工程学, 恐惧]","[nano, nanotechnology, ethics, suzhou, center, technology, stem cell, bionics, engineering, fear]","[нано, нанотехнологии, этика, сучжоу, центр, технология, стволовые клетки, бионика, инженерия, страх]",Nanotechnology Ethics and Governance,纳米科技伦理与治理研究,Этика и управление нанотехнологиями
98,"[一带, 一路, 沿线, 地缘, 贸易, 合作, 国家, 外部性, 跨国, 文化遗产]","[one belt, one road, along the route, geography, trade, cooperation, country, externality, transnational, cultural heritage]","[один пояс, один путь, по маршруту, география, торговля, сотрудничество, страна, внешние эффекты, транснациональность, культурное наследие]",Belt and Road Initiative: S&T Cooperation,“一带一路”科技合作,"""Пояс и путь"": научно-техническое сотрудничество"
99,"[光纤, 传感, 采集器, 分布式, 光栅, 传感器, 信号, 屏蔽, 电磁, 光纤通信]","[optical fiber, sensor, collector, distributed, grating, sensor, signal, shielding, electromagnetic, optical fiber communication]","[оптическое волокно, сенсорное, коллекторное, распределенное, решёточное, сенсорное, сигнальное, экранирующее, электромагнитное, волоконно-оптическая связь]",Fiber Optic Technology and Sensing Systems,光纤技术与传感系统综述,Волоконно-оптические технологии и системы зондирования